Amount,Merchant,Category,CardType,Location,Time,FraudFlag,HighAmountFlag,IsNightTransaction,MerchantRisk,CardRisk
1561,PharmaCare,Groceries,VirtualCard,Lagos,11:00,0,0,0,0,1
9504,ElectroMart,Groceries,Visa,Abuja,05:00,0,0,1,0,0
7594,ElectroMart,Electronics,Visa,Enugu,06:30,0,0,0,0,0
16430,ShopY,Healthcare,Visa,Abuja,20:30,0,0,0,0,0
1358,ShopY,Groceries,Mastercard,Enugu,10:30,0,0,0,0,0
657171,OnlineMall,Groceries,Mastercard,Abuja,07:00,1,1,0,1,1
34524,OnlineMall,Groceries,Visa,Enugu,13:30,0,0,0,1,0
47620,PharmaCare,Travel,Mastercard,Abuja,04:30,0,0,1,0,0
153260,LuxuryStore,Luxury,Mastercard,Lagos,21:30,1,0,0,1,1
45181,OnlineMall,Groceries,Visa,PortHarcourt,21:00,0,0,0,1,0
26720,ElectroMart,Healthcare,Visa,Lagos,18:30,0,0,0,0,0
6525,ShopX,Healthcare,Mastercard,Abuja,02:00,0,0,1,0,0
13896,ShopY,Groceries,Visa,Lagos,17:00,0,0,0,0,0
44997,PharmaCare,Luxury,Visa,Lagos,02:00,0,0,1,0,0
808,PharmaCare,Electronics,Visa,Enugu,17:30,0,0,0,0,0
5213,OnlineMall,Luxury,Mastercard,Ibadan,19:30,0,0,0,1,0
71332,ElectroMart,Groceries,VirtualCard,PortHarcourt,23:00,0,0,1,0,1
12538,PharmaCare,Healthcare,VirtualCard,Abuja,06:30,0,0,0,0,1
18999,ShopY,Electronics,VirtualCard,Ibadan,15:30,0,0,0,0,1
101835,ElectroMart,Healthcare,Visa,Enugu,22:30,0,0,1,0,0
124506,ShopY,Luxury,VirtualCard,Ibadan,18:30,0,0,0,0,1
31206,ShopY,Gaming,Visa,PortHarcourt,21:00,0,0,0,0,0
12754,ShopY,Gaming,Visa,Lagos,06:00,0,0,0,0,0
18908,PharmaCare,Luxury,Visa,Ibadan,16:00,0,0,0,0,0
11351,OnlineMall,Electronics,Visa,Lagos,20:00,0,0,0,1,0
45815,OnlineMall,Healthcare,Visa,PortHarcourt,04:30,0,0,1,1,0
21549,OnlineMall,Luxury,Visa,PortHarcourt,15:00,0,0,0,1,0
11766,OnlineMall,Healthcare,Visa,Ibadan,07:30,0,0,0,1,0
26326,LuxuryStore,Gaming,Visa,Lagos,16:00,0,0,0,1,0
38869,LuxuryStore,Healthcare,Visa,PortHarcourt,05:30,0,0,1,1,0
35737,LuxuryStore,Gaming,Visa,PortHarcourt,20:00,0,0,0,1,0
30738,ElectroMart,Gaming,Mastercard,PortHarcourt,21:30,0,0,0,0,0
34743,OnlineMall,Healthcare,Mastercard,Abuja,06:30,0,0,0,1,0
16211,ShopX,Groceries,Mastercard,Abuja,06:00,0,0,0,0,0
183116,OnlineMall,Groceries,Visa,Abuja,01:30,0,0,1,1,0
30868,PharmaCare,Luxury,Visa,Abuja,18:00,0,0,0,0,0
53592,ShopX,Groceries,VirtualCard,Ibadan,10:30,0,0,0,0,1
16666,LuxuryStore,Electronics,Visa,Abuja,04:30,0,0,1,1,0
13679,LuxuryStore,Travel,Visa,Ibadan,09:00,0,0,0,1,0
404959,OnlineMall,Luxury,Mastercard,Ibadan,07:30,1,1,0,1,1
42982,ShopX,Travel,Visa,Enugu,00:00,0,0,1,0,0
32148,ShopX,Travel,Visa,Enugu,22:00,0,0,1,0,0
5375,OnlineMall,Healthcare,Visa,Ibadan,15:00,0,0,0,1,0
39699,OnlineMall,Luxury,Visa,Ibadan,18:00,0,0,0,1,0
889675,OnlineMall,Travel,Visa,Kano,08:00,1,1,0,1,0
1533,ShopY,Healthcare,Visa,Enugu,20:00,0,0,0,0,0
26905,ShopY,Luxury,Visa,Ibadan,18:30,0,0,0,0,0
41744,OnlineMall,Travel,Mastercard,Ibadan,17:00,0,0,0,1,0
20067,ElectroMart,Groceries,Mastercard,Enugu,02:00,0,0,1,0,0
21225,PharmaCare,Groceries,Mastercard,Kano,23:00,0,0,1,0,0
23692,ShopY,Healthcare,Visa,Ibadan,12:30,0,0,0,0,0
8789,ShopX,Luxury,Mastercard,Ibadan,02:00,0,0,1,0,0
32194,ShopY,Groceries,Visa,Kano,10:00,0,0,0,0,0
25131,OnlineMall,Healthcare,Visa,Enugu,13:00,0,0,0,1,0
262398,ElectroMart,Travel,Mastercard,Abuja,15:30,1,0,0,1,1
16244,ShopX,Travel,Mastercard,Lagos,14:30,0,0,0,0,0
12490,ShopY,Luxury,Mastercard,Ibadan,00:30,0,0,1,0,0
17528,LuxuryStore,Travel,Visa,Ibadan,03:30,0,0,1,1,0
97933,ShopY,Healthcare,Visa,Enugu,19:30,0,0,0,0,0
47162,ShopY,Electronics,Mastercard,Abuja,13:30,0,0,0,0,0
5123,ShopY,Healthcare,VirtualCard,PortHarcourt,18:00,0,0,0,0,1
16678,ShopY,Luxury,VirtualCard,Lagos,20:30,0,0,0,0,1
29119,ElectroMart,Groceries,Visa,Enugu,18:30,0,0,0,0,0
42074,ShopY,Luxury,Visa,Ibadan,07:30,0,0,0,0,0
19283,OnlineMall,Luxury,Mastercard,Abuja,09:00,0,0,0,1,0
47109,LuxuryStore,Gaming,Visa,PortHarcourt,09:30,0,0,0,1,0
34362,ShopX,Electronics,Mastercard,Abuja,16:30,0,0,0,0,0
189848,OnlineMall,Luxury,Mastercard,Enugu,01:30,0,0,1,1,0
733744,OnlineMall,Luxury,Mastercard,Abuja,11:00,1,1,0,1,1
194500,ShopX,Luxury,Mastercard,Lagos,18:00,0,0,0,0,0
33308,ShopX,Luxury,Visa,Abuja,10:30,0,0,0,0,0
19417,OnlineMall,Travel,Visa,Kano,01:30,0,0,1,1,0
61611,LuxuryStore,Groceries,Visa,Kano,11:30,0,0,0,1,0
4856,PharmaCare,Healthcare,Visa,Abuja,21:00,0,0,0,0,0
19588,LuxuryStore,Healthcare,Visa,Ibadan,19:00,0,0,0,1,0
47433,OnlineMall,Luxury,Visa,Abuja,01:00,0,0,1,1,0
176107,ShopX,Gaming,Mastercard,Kano,07:30,0,0,0,0,0
37479,LuxuryStore,Healthcare,Mastercard,Enugu,07:00,0,0,0,1,0
898836,OnlineMall,Electronics,Visa,PortHarcourt,04:00,1,1,1,1,0
42491,OnlineMall,Electronics,Mastercard,Ibadan,06:30,0,0,0,1,0
28724,ShopX,Groceries,Visa,Enugu,01:30,0,0,1,0,0
222891,LuxuryStore,Luxury,VirtualCard,Ibadan,18:30,1,0,0,1,1
13105,LuxuryStore,Healthcare,Visa,PortHarcourt,17:00,0,0,0,1,0
17223,OnlineMall,Travel,Visa,Kano,18:30,0,0,0,1,0
3999,OnlineMall,Travel,Mastercard,Ibadan,19:30,0,0,0,1,0
22824,OnlineMall,Gaming,Visa,Abuja,04:00,0,0,1,1,0
95457,ShopY,Groceries,Mastercard,Kano,16:00,0,0,0,0,0
186182,PharmaCare,Gaming,Mastercard,Abuja,22:00,0,0,1,0,0
4112,ShopX,Healthcare,Mastercard,PortHarcourt,07:30,0,0,0,0,0
721244,LuxuryStore,Luxury,Visa,Kano,23:30,1,1,1,1,0
3390,ShopX,Groceries,Visa,PortHarcourt,20:00,0,0,0,0,0
24551,ElectroMart,Electronics,Visa,Kano,03:30,0,0,1,0,0
48845,ElectroMart,Travel,Mastercard,Kano,01:00,0,0,1,0,0
27383,ElectroMart,Healthcare,VirtualCard,Ibadan,15:00,0,0,0,0,1
9574,OnlineMall,Luxury,Visa,Lagos,16:00,0,0,0,1,0
38770,ElectroMart,Luxury,Visa,Enugu,11:30,0,0,0,0,0
216623,ShopY,Travel,Mastercard,Ibadan,10:30,1,0,0,0,1
42071,ShopY,Electronics,Mastercard,Enugu,16:00,0,0,0,0,0
126236,ShopY,Electronics,Visa,Ibadan,03:00,0,0,1,0,0
6265,ShopY,Travel,VirtualCard,Ibadan,09:00,0,0,0,0,1
66392,PharmaCare,Healthcare,Visa,Kano,01:30,0,0,1,0,0
48946,ShopX,Healthcare,Visa,Ibadan,21:00,0,0,0,0,0
45417,OnlineMall,Gaming,Visa,Lagos,12:30,0,0,0,1,0
47678,PharmaCare,Healthcare,Mastercard,Abuja,18:30,0,0,0,0,0
49445,OnlineMall,Groceries,Visa,Lagos,16:00,0,0,0,1,0
29568,LuxuryStore,Gaming,Visa,Ibadan,01:00,0,0,1,1,0
187932,PharmaCare,Electronics,Mastercard,Ibadan,22:30,0,0,1,0,0
43028,PharmaCare,Healthcare,Visa,Lagos,09:00,0,0,0,0,0
159115,LuxuryStore,Electronics,Mastercard,Kano,04:00,0,0,1,1,0
43701,PharmaCare,Electronics,Visa,PortHarcourt,22:30,0,0,1,0,0
22804,ShopX,Travel,Visa,PortHarcourt,01:00,0,0,1,0,0
16905,PharmaCare,Healthcare,Mastercard,Abuja,05:30,0,0,1,0,0
23900,LuxuryStore,Gaming,Visa,Enugu,04:00,0,0,1,1,0
105445,PharmaCare,Healthcare,Visa,Kano,07:00,0,0,0,0,0
43873,ShopX,Electronics,Visa,Kano,16:30,0,0,0,0,0
21298,PharmaCare,Luxury,Visa,Lagos,15:00,0,0,0,0,0
409073,PharmaCare,Gaming,Visa,PortHarcourt,10:00,1,1,0,0,0
84604,ShopY,Luxury,Visa,Ibadan,17:00,0,0,0,0,0
40655,ElectroMart,Healthcare,Visa,Abuja,19:30,0,0,0,0,0
31373,PharmaCare,Travel,Visa,Enugu,01:30,0,0,1,0,0
199513,ShopX,Travel,Mastercard,PortHarcourt,11:00,0,0,0,0,0
23469,ElectroMart,Healthcare,Mastercard,Lagos,01:30,0,0,1,0,0
18168,OnlineMall,Electronics,Mastercard,Lagos,02:00,0,0,1,1,0
148132,LuxuryStore,Electronics,Visa,Ibadan,02:00,0,0,1,1,0
36144,ShopX,Gaming,Visa,Kano,07:00,0,0,0,0,0
13176,OnlineMall,Luxury,Mastercard,Abuja,07:30,0,0,0,1,0
24216,LuxuryStore,Gaming,Mastercard,PortHarcourt,04:00,0,0,1,1,0
8735,OnlineMall,Luxury,Visa,Enugu,16:30,0,0,0,1,0
73153,OnlineMall,Gaming,Mastercard,Enugu,21:00,0,0,0,1,0
88196,ShopY,Travel,Visa,PortHarcourt,18:00,0,0,0,0,0
554879,ElectroMart,Travel,Mastercard,PortHarcourt,12:00,1,1,0,1,1
32371,ShopY,Healthcare,Mastercard,PortHarcourt,23:30,0,0,1,0,0
10634,ShopX,Electronics,Visa,Abuja,07:00,0,0,0,0,0
39770,ShopX,Healthcare,Visa,Enugu,23:00,0,0,1,0,0
38800,LuxuryStore,Electronics,Mastercard,Enugu,10:00,0,0,0,1,0
15893,ShopX,Healthcare,VirtualCard,Kano,15:30,0,0,0,0,1
168282,OnlineMall,Electronics,Visa,PortHarcourt,08:30,0,0,0,1,0
28847,ShopX,Electronics,VirtualCard,Abuja,17:00,0,0,0,0,1
7162,ShopY,Travel,Visa,PortHarcourt,07:00,0,0,0,0,0
40269,OnlineMall,Groceries,Visa,Kano,15:30,0,0,0,1,0
29059,PharmaCare,Healthcare,Visa,Enugu,14:30,0,0,0,0,0
34712,ShopY,Electronics,Visa,Ibadan,22:30,0,0,1,0,0
41473,OnlineMall,Luxury,Visa,PortHarcourt,02:30,0,0,1,1,0
35970,PharmaCare,Travel,Mastercard,Ibadan,22:00,0,0,1,0,0
13162,PharmaCare,Gaming,Mastercard,Enugu,01:30,0,0,1,0,0
67736,ShopX,Healthcare,Visa,Lagos,12:00,0,0,0,0,0
872788,ElectroMart,Travel,Visa,Enugu,19:30,1,1,0,1,0
87793,ShopX,Gaming,Visa,Enugu,14:00,0,0,0,0,0
41411,OnlineMall,Groceries,Mastercard,Kano,18:00,0,0,0,1,0
14686,PharmaCare,Healthcare,Visa,Enugu,04:00,0,0,1,0,0
699,ShopX,Travel,Visa,Kano,19:00,0,0,0,0,0
14448,ShopX,Travel,Visa,Ibadan,14:30,0,0,0,0,0
8913,PharmaCare,Gaming,Mastercard,Enugu,10:30,0,0,0,0,0
945064,LuxuryStore,Electronics,VirtualCard,PortHarcourt,12:30,1,1,0,1,1
21898,ShopX,Gaming,Visa,Lagos,03:00,0,0,1,0,0
33582,ShopY,Groceries,Visa,Ibadan,17:30,0,0,0,0,0
11161,ShopY,Travel,Mastercard,Enugu,11:30,0,0,0,0,0
38825,ShopX,Electronics,Visa,Ibadan,17:00,0,0,0,0,0
101091,ShopX,Gaming,Mastercard,PortHarcourt,19:30,0,0,0,0,0
20924,ElectroMart,Electronics,Mastercard,Abuja,10:30,0,0,0,0,0
175931,ShopX,Luxury,Mastercard,Kano,21:30,0,0,0,0,0
35404,ShopX,Electronics,Visa,Abuja,05:30,0,0,1,0,0
19855,ShopY,Groceries,Visa,Lagos,09:00,0,0,0,0,0
41600,PharmaCare,Healthcare,Visa,Ibadan,06:00,0,0,0,0,0
23709,ShopY,Gaming,Visa,PortHarcourt,17:30,0,0,0,0,0
14055,ShopY,Healthcare,VirtualCard,Lagos,09:30,0,0,0,0,1
49714,ShopX,Healthcare,VirtualCard,PortHarcourt,11:00,0,0,0,0,1
3331,ShopY,Electronics,VirtualCard,Ibadan,15:00,0,0,0,0,1
944922,PharmaCare,Groceries,Visa,Ibadan,22:30,1,1,1,0,0
30859,PharmaCare,Luxury,VirtualCard,Kano,10:30,0,0,0,0,1
990961,LuxuryStore,Gaming,VirtualCard,Abuja,07:30,1,1,0,1,1
17393,ShopX,Gaming,Mastercard,Abuja,10:00,0,0,0,0,0
33232,ShopX,Groceries,Visa,PortHarcourt,06:00,0,0,0,0,0
29196,LuxuryStore,Gaming,VirtualCard,Lagos,20:30,0,0,0,1,1
26639,OnlineMall,Groceries,Mastercard,Lagos,08:30,0,0,0,1,0
810542,PharmaCare,Electronics,Mastercard,Lagos,05:30,1,1,1,0,1
34355,ShopY,Electronics,Visa,Kano,16:30,0,0,0,0,0
166799,OnlineMall,Electronics,Visa,Ibadan,17:00,0,0,0,1,0
20044,OnlineMall,Groceries,VirtualCard,Lagos,05:30,0,0,1,1,1
3719,ShopY,Electronics,Visa,Enugu,10:30,0,0,0,0,0
34563,OnlineMall,Gaming,Visa,Kano,13:30,0,0,0,1,0
29094,ShopY,Gaming,Mastercard,Kano,16:30,0,0,0,0,0
32009,ElectroMart,Electronics,Visa,Enugu,15:30,0,0,0,0,0
507988,ElectroMart,Electronics,Visa,Abuja,18:00,1,1,0,1,0
740587,PharmaCare,Electronics,VirtualCard,Lagos,01:00,1,1,1,0,1
46652,ShopY,Groceries,Visa,Lagos,11:30,0,0,0,0,0
7133,ShopX,Groceries,Mastercard,Ibadan,16:30,0,0,0,0,0
26134,ElectroMart,Groceries,Visa,Kano,15:00,0,0,0,0,0
44851,ElectroMart,Groceries,VirtualCard,Ibadan,07:00,0,0,0,0,1
37060,LuxuryStore,Gaming,Visa,Lagos,22:30,0,0,1,1,0
12771,ShopY,Electronics,VirtualCard,Abuja,22:30,0,0,1,0,1
69520,PharmaCare,Gaming,Mastercard,Lagos,02:30,0,0,1,0,0
195928,LuxuryStore,Healthcare,VirtualCard,Enugu,23:30,0,0,1,1,1
41074,ShopX,Gaming,Visa,PortHarcourt,11:00,0,0,0,0,0
781345,ShopY,Travel,Visa,Lagos,02:00,1,1,1,0,0
39024,ElectroMart,Groceries,Visa,Kano,23:00,0,0,1,0,0
153519,ShopX,Electronics,Visa,Kano,01:00,0,0,1,0,0
19893,ElectroMart,Healthcare,Mastercard,PortHarcourt,22:30,0,0,1,0,0
49071,ElectroMart,Electronics,Visa,Ibadan,21:00,0,0,0,0,0
138649,OnlineMall,Luxury,Mastercard,Lagos,12:30,0,0,0,1,0
41912,LuxuryStore,Luxury,VirtualCard,Abuja,18:00,0,0,0,1,1
38409,ElectroMart,Travel,VirtualCard,Abuja,21:30,0,0,0,0,1
42880,LuxuryStore,Gaming,Mastercard,Enugu,07:00,0,0,0,1,0
43770,ShopY,Travel,Mastercard,Ibadan,06:30,0,0,0,0,0
42516,ShopX,Groceries,Visa,Abuja,02:00,0,0,1,0,0
39390,PharmaCare,Luxury,Visa,Kano,17:30,0,0,0,0,0
16798,ElectroMart,Luxury,Visa,PortHarcourt,16:30,0,0,0,0,0
44471,LuxuryStore,Healthcare,Visa,Ibadan,07:30,0,0,0,1,0
55913,ElectroMart,Luxury,Visa,Abuja,06:00,1,0,0,1,0
30954,ElectroMart,Healthcare,Visa,Kano,08:30,0,0,0,0,0
2423,ShopX,Travel,Visa,Ibadan,05:00,0,0,1,0,0
84719,OnlineMall,Groceries,VirtualCard,Abuja,17:00,0,0,0,1,1
45876,OnlineMall,Gaming,Visa,Abuja,19:30,0,0,0,1,0
143155,ElectroMart,Electronics,VirtualCard,PortHarcourt,04:30,0,0,1,0,1
39932,ShopX,Luxury,Visa,Ibadan,00:00,0,0,1,0,0
81311,ElectroMart,Electronics,Mastercard,Lagos,23:30,0,0,1,0,0
46697,OnlineMall,Groceries,Mastercard,Abuja,19:00,0,0,0,1,0
42448,ElectroMart,Electronics,Visa,Abuja,16:30,0,0,0,0,0
36464,ElectroMart,Gaming,Visa,Lagos,07:00,0,0,0,0,0
21106,PharmaCare,Luxury,Visa,Ibadan,22:30,0,0,1,0,0
10191,LuxuryStore,Electronics,Mastercard,Kano,19:00,0,0,0,1,0
274372,LuxuryStore,Electronics,Mastercard,Abuja,20:00,1,0,0,1,1
30226,ShopY,Luxury,Visa,Kano,19:30,0,0,0,0,0
48899,ElectroMart,Groceries,Visa,PortHarcourt,07:00,0,0,0,0,0
79440,ElectroMart,Healthcare,VirtualCard,Lagos,23:00,0,0,1,0,1
198926,LuxuryStore,Groceries,Visa,PortHarcourt,08:00,0,0,0,1,0
123879,ShopY,Luxury,Visa,Lagos,11:30,0,0,0,0,0
81989,LuxuryStore,Electronics,Visa,Ibadan,00:00,0,0,1,1,0
7535,ShopY,Luxury,Visa,PortHarcourt,14:00,0,0,0,0,0
13440,OnlineMall,Healthcare,VirtualCard,Kano,14:00,0,0,0,1,1
198561,OnlineMall,Groceries,Visa,Ibadan,09:30,0,0,0,1,0
710520,LuxuryStore,Electronics,Visa,PortHarcourt,08:00,1,1,0,1,0
26793,OnlineMall,Luxury,Mastercard,Enugu,17:00,0,0,0,1,0
24814,ShopY,Luxury,Visa,Kano,03:00,0,0,1,0,0
95885,ShopX,Electronics,Visa,Kano,21:30,0,0,0,0,0
42315,LuxuryStore,Healthcare,Visa,PortHarcourt,01:00,0,0,1,1,0
8833,LuxuryStore,Luxury,Visa,Ibadan,15:30,0,0,0,1,0
49063,ShopY,Gaming,Mastercard,PortHarcourt,04:00,0,0,1,0,0
113929,PharmaCare,Healthcare,Visa,PortHarcourt,23:30,0,0,1,0,0
42010,ElectroMart,Travel,Mastercard,Lagos,03:30,0,0,1,0,0
13774,ShopX,Electronics,Visa,Abuja,07:30,0,0,0,0,0
2042,LuxuryStore,Groceries,Mastercard,Kano,19:30,0,0,0,1,0
47861,LuxuryStore,Groceries,Visa,PortHarcourt,11:00,0,0,0,1,0
10549,ElectroMart,Gaming,Mastercard,Kano,02:00,0,0,1,0,0
21093,LuxuryStore,Electronics,Visa,Ibadan,16:00,0,0,0,1,0
36541,PharmaCare,Travel,Mastercard,Ibadan,19:00,0,0,0,0,0
104494,PharmaCare,Gaming,Mastercard,Ibadan,00:00,0,0,1,0,0
8139,ShopY,Gaming,Visa,Abuja,05:00,0,0,1,0,0
35069,LuxuryStore,Electronics,Visa,Kano,17:00,0,0,0,1,0
33252,PharmaCare,Gaming,Mastercard,Abuja,14:00,0,0,0,0,0
12049,ShopY,Healthcare,Mastercard,Lagos,05:00,0,0,1,0,0
7497,ShopX,Gaming,Visa,Kano,01:00,0,0,1,0,0
29425,OnlineMall,Luxury,Visa,Ibadan,19:30,0,0,0,1,0
39907,OnlineMall,Electronics,Visa,Ibadan,09:30,0,0,0,1,0
190212,ElectroMart,Groceries,Mastercard,Kano,07:00,0,0,0,0,0
44705,LuxuryStore,Healthcare,Visa,Enugu,19:00,0,0,0,1,0
175657,ShopX,Groceries,Visa,Lagos,09:30,0,0,0,0,0
9521,ShopX,Electronics,Visa,Enugu,11:00,0,0,0,0,0
39126,ElectroMart,Travel,Visa,Ibadan,15:30,0,0,0,0,0
42756,LuxuryStore,Electronics,Visa,Ibadan,02:00,0,0,1,1,0
51768,PharmaCare,Electronics,Mastercard,Enugu,13:00,1,0,0,0,1
20742,LuxuryStore,Luxury,Visa,Enugu,03:00,0,0,1,1,0
192494,OnlineMall,Groceries,Mastercard,Enugu,22:30,0,0,1,1,0
160536,ShopY,Luxury,Mastercard,Abuja,13:00,0,0,0,0,0
45498,ShopX,Electronics,Mastercard,Abuja,14:30,0,0,0,0,0
933793,LuxuryStore,Travel,Visa,Enugu,23:00,1,1,1,1,0
18662,PharmaCare,Travel,Mastercard,Enugu,02:00,0,0,1,0,0
43036,LuxuryStore,Electronics,Visa,Enugu,11:30,0,0,0,1,0
170972,ElectroMart,Groceries,Visa,Enugu,08:30,0,0,0,0,0
22014,PharmaCare,Healthcare,Mastercard,Enugu,20:00,0,0,0,0,0
28753,PharmaCare,Luxury,Mastercard,Kano,19:30,0,0,0,0,0
19192,LuxuryStore,Luxury,Visa,Lagos,20:30,0,0,0,1,0
141732,OnlineMall,Groceries,Visa,PortHarcourt,18:00,0,0,0,1,0
42582,PharmaCare,Electronics,Visa,Ibadan,03:00,0,0,1,0,0
180604,LuxuryStore,Groceries,Visa,Lagos,15:30,0,0,0,1,0
186355,OnlineMall,Travel,Visa,Lagos,12:00,0,0,0,1,0
492984,OnlineMall,Luxury,Visa,PortHarcourt,23:30,1,1,1,1,0
47979,ElectroMart,Travel,Mastercard,Ibadan,01:30,0,0,1,0,0
8208,ElectroMart,Healthcare,Visa,Kano,22:30,0,0,1,0,0
794602,PharmaCare,Electronics,VirtualCard,PortHarcourt,05:00,1,1,1,0,1
159548,ElectroMart,Groceries,Visa,PortHarcourt,09:00,0,0,0,0,0
43724,OnlineMall,Luxury,Visa,PortHarcourt,04:30,0,0,1,1,0
32005,LuxuryStore,Luxury,Visa,Kano,01:00,0,0,1,1,0
46602,ElectroMart,Luxury,Visa,Enugu,09:30,0,0,0,0,0
33959,ShopX,Groceries,Mastercard,PortHarcourt,08:30,0,0,0,0,0
25983,ElectroMart,Travel,VirtualCard,Kano,09:00,0,0,0,0,1
386454,ShopX,Gaming,Mastercard,Abuja,02:00,1,1,1,0,1
7001,PharmaCare,Groceries,Visa,Enugu,12:30,0,0,0,0,0
74455,OnlineMall,Luxury,Mastercard,PortHarcourt,16:00,0,0,0,1,0
24393,PharmaCare,Electronics,Visa,Enugu,21:00,0,0,0,0,0
25295,ShopX,Groceries,Visa,Lagos,08:00,0,0,0,0,0
87116,LuxuryStore,Luxury,Visa,PortHarcourt,12:30,0,0,0,1,0
33397,LuxuryStore,Travel,Mastercard,Enugu,07:30,0,0,0,1,0
195143,ElectroMart,Luxury,Visa,Ibadan,21:00,0,0,0,0,0
22921,ShopY,Gaming,Visa,Enugu,00:00,0,0,1,0,0
1912,ShopX,Luxury,Visa,Lagos,19:30,0,0,0,0,0
42143,LuxuryStore,Healthcare,Visa,Kano,17:00,0,0,0,1,0
859309,OnlineMall,Luxury,Visa,Abuja,13:00,1,1,0,1,0
4080,ShopX,Travel,Visa,Abuja,10:30,0,0,0,0,0
184549,ElectroMart,Electronics,Mastercard,Kano,12:30,0,0,0,0,0
16760,ShopX,Groceries,Mastercard,PortHarcourt,17:30,0,0,0,0,0
4915,OnlineMall,Gaming,Visa,Abuja,03:30,0,0,1,1,0
19939,ShopX,Travel,Mastercard,PortHarcourt,16:30,0,0,0,0,0
660,ShopY,Groceries,Visa,Lagos,07:00,0,0,0,0,0
36851,ShopX,Travel,VirtualCard,Abuja,21:00,0,0,0,0,1
22368,ElectroMart,Groceries,Visa,Kano,16:30,0,0,0,0,0
33149,LuxuryStore,Healthcare,Visa,PortHarcourt,02:30,0,0,1,1,0
10891,PharmaCare,Gaming,Mastercard,Ibadan,13:00,0,0,0,0,0
19565,ShopY,Groceries,Mastercard,Abuja,17:30,0,0,0,0,0
47553,ShopX,Luxury,Visa,Abuja,18:00,0,0,0,0,0
16344,ShopY,Electronics,Mastercard,Ibadan,21:00,0,0,0,0,0
155645,LuxuryStore,Luxury,Visa,Enugu,13:00,0,0,0,1,0
121531,ShopY,Gaming,Mastercard,Abuja,00:30,0,0,1,0,0
7319,PharmaCare,Gaming,VirtualCard,Enugu,07:30,0,0,0,0,1
49314,ShopY,Travel,Visa,Kano,00:00,0,0,1,0,0
42181,PharmaCare,Gaming,VirtualCard,Kano,18:00,0,0,0,0,1
35401,ShopY,Electronics,Mastercard,Enugu,08:00,0,0,0,0,0
27457,LuxuryStore,Groceries,Visa,Ibadan,01:00,0,0,1,1,0
126919,ElectroMart,Electronics,VirtualCard,Abuja,06:00,0,0,0,0,1
13407,PharmaCare,Travel,Mastercard,Abuja,09:00,0,0,0,0,0
154205,LuxuryStore,Electronics,VirtualCard,Abuja,17:30,1,0,0,1,1
22060,OnlineMall,Luxury,Visa,Abuja,02:00,0,0,1,1,0
8410,ShopX,Healthcare,Mastercard,Abuja,21:00,0,0,0,0,0
196165,ShopY,Healthcare,Visa,Abuja,19:30,0,0,0,0,0
675080,LuxuryStore,Gaming,Visa,Lagos,08:30,1,1,0,1,0
15057,LuxuryStore,Healthcare,Visa,Abuja,12:30,0,0,0,1,0
43476,LuxuryStore,Groceries,VirtualCard,Abuja,08:30,0,0,0,1,1
2691,PharmaCare,Gaming,Visa,Ibadan,15:30,0,0,0,0,0
883485,LuxuryStore,Luxury,Mastercard,Abuja,13:30,1,1,0,1,1
2643,ShopY,Travel,Visa,Abuja,10:00,0,0,0,0,0
